,Name,Team,Number,Position,Age,Height,Weight,College,Salary
0,Avery Bradley,Boston Celtics,0,PG,25,06-Feb,180,Texas,7730337.0
1,Jae Crowder,Boston Celtics,99,SF,25,06-Jun,235,Marquette,6796117.0
2,John Holland,Boston Celtics,30,SG,27,06-May,205,Boston University,4842684.1
3,R.J. Hunter,Boston Celtics,28,SG,22,06-May,185,Georgia State,1148640.0
4,Jonas Jerebko,Boston Celtics,8,PF,29,06-Oct,231,Alabama,5000000.0
5,Amir Johnson,Boston Celtics,90,PF,29,06-Sep,240,Alabama,12000000.0
6,Jordan Mickey,Boston Celtics,55,PF,21,06-Aug,235,LSU,1170960.0
7,Kelly Olynyk,Boston Celtics,41,C,25,7-0,238,Gonzaga,2165160.0
8,Terry Rozier,Boston Celtics,12,PG,22,06-Feb,190,Louisville,1824360.0
9,Marcus Smart,Boston Celtics,36,PG,22,06-Apr,220,Oklahoma State,3431040.0
10,Jared Sullinger,Boston Celtics,7,C,24,06-Sep,260,Ohio State,2569260.0
11,Isaiah Thomas,Boston Celtics,4,PG,27,05-Sep,185,Washington,6912869.0
12,Evan Turner,Boston Celtics,11,SG,27,06-Jul,220,Ohio State,3425510.0
13,James Young,Boston Celtics,13,SG,20,06-Jun,215,Kentucky,1749840.0
14,Tyler Zeller,Boston Celtics,44,C,26,7-0,253,North Carolina,2616975.0
15,Bojan Bogdanovic,Brooklyn Nets,44,SG,27,06-Aug,216,Alabama,3425510.0
16,Markel Brown,Brooklyn Nets,22,SG,24,06-Mar,190,Oklahoma State,845059.0
17,Wayne Ellington,Brooklyn Nets,21,SG,28,06-Apr,200,North Carolina,1500000.0
18,Rondae Hollis-Jefferson,Brooklyn Nets,24,SG,21,06-Jul,220,Arizona,1335480.0
19,Jarrett Jack,Brooklyn Nets,2,PG,32,06-Mar,200,Georgia Tech,6300000.0
20,Sergey Karasev,Brooklyn Nets,10,SG,22,06-Jul,208,Alabama,1599840.0
21,Sean Kilpatrick,Brooklyn Nets,6,SG,26,06-Apr,219,Cincinnati,134215.0
22,Shane Larkin,Brooklyn Nets,0,PG,23,05-Nov,175,Miami (FL),1500000.0
23,Brook Lopez,Brooklyn Nets,11,C,28,7-0,275,Stanford,19689000.0
24,Chris McCullough,Brooklyn Nets,1,PF,21,06-Nov,200,Syracuse,1140240.0
25,Willie Reed,Brooklyn Nets,33,PF,26,06-Oct,220,Saint Louis,947276.0
26,Thomas Robinson,Brooklyn Nets,41,PF,25,06-Oct,237,Kansas,981348.0
27,Henry Sims,Brooklyn Nets,14,C,26,06-Oct,248,Georgetown,947276.0
28,Donald Sloan,Brooklyn Nets,15,PG,28,06-Mar,205,Texas A&M,947276.0
29,Thaddeus Young,Brooklyn Nets,30,PF,27,06-Aug,221,Georgia Tech,11235955.0
30,Arron Afflalo,New York Knicks,4,SG,30,06-May,210,UCLA,8000000.0
31,Lou Amundson,New York Knicks,17,PF,33,06-Sep,220,UNLV,1635476.0
32,Thanasis Antetokounmpo,New York Knicks,43,SF,23,06-Jul,205,Alabama,30888.0
