iter	Passed	Remaining
0	156	23288
1	346	25665
2	496	24327
3	687	25109
4	890	25838
5	1084	26031
6	1289	26344
7	1480	26271
8	1663	26064
9	1860	26045
10	2055	25978
11	2250	25875
12	2399	25283
13	2604	25297
14	2787	25090
15	2975	24921
16	3163	24748
17	3348	24556
18	3499	24125
19	3690	23985
20	3881	23844
21	4071	23688
22	4256	23505
23	4451	23372
24	4599	22997
25	4778	22787
26	4970	22643
27	5165	22507
28	5353	22337
29	5497	21991
30	5687	21831
31	5879	21682
32	6054	21465
33	6245	21309
34	6384	20978
35	6569	20804
36	6772	20684
37	6966	20531
38	7168	20402
39	7361	20244
40	7544	20057
41	7674	19735
42	7859	19556
43	7992	19255
44	8183	19095
45	8370	18924
46	8501	18630
47	8673	18431
48	8851	18245
49	8994	17989
50	9168	17797
51	9350	17622
52	9541	17462
53	9680	17210
54	9862	17035
55	10050	16871
56	10181	16611
57	10355	16426
58	10558	16285
59	10688	16032
60	10849	15829
61	11007	15623
62	11153	15402
63	11295	15177
64	11414	14926
65	11575	14732
66	11750	14556
67	11910	14363
68	12082	14183
69	12261	14012
70	12395	13791
71	12558	13605
72	12746	13445
73	12886	13234
74	13058	13058
75	13192	12845
76	13376	12681
77	13565	12521
78	13762	12368
79	13936	12194
80	14076	11991
81	14195	11772
82	14372	11602
83	14550	11432
84	14686	11230
85	14858	11057
86	15049	10897
87	15197	10707
88	15363	10530
89	15535	10356
90	15692	10174
91	15876	10009
92	16072	9851
93	16263	9689
94	16448	9522
95	16567	9319
96	16748	9151
97	16892	8963
98	17046	8781
99	17187	8593
100	17383	8433
101	17575	8270
102	17751	8100
103	17880	7908
104	18056	7738
105	18243	7572
106	18437	7409
107	18581	7226
108	18768	7059
109	18943	6888
110	19072	6701
111	19256	6533
112	19442	6366
113	19556	6175
114	19735	6006
115	19889	5829
116	20074	5662
117	20257	5493
118	20396	5313
119	20573	5143
120	20754	4974
121	20895	4795
122	21070	4625
123	21241	4453
124	21354	4270
125	21550	4104
126	21729	3935
127	21879	3760
128	22070	3592
129	22252	3423
130	22381	3246
131	22560	3076
132	22730	2905
133	22929	2737
134	23058	2562
135	23232	2391
136	23374	2218
137	23565	2049
138	23733	1878
139	23878	1705
140	24058	1535
141	24249	1366
142	24374	1193
143	24560	1023
144	24738	853
145	24933	683
146	25050	511
147	25237	341
148	25545	171
149	25950	0
