Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Kyrgyzstan,Europe,88953,1363,,,,1024,16,,,
Côte d'Ivoire,Africa,88425,335,,,,835,3,,,
Guadeloupe,,203235,50793,,,,1021,255,,,
El Salvador,Americas,201865,3112,,,,4230,65,,,
Guernsey,,35326,54796,,,,67,104,,,
Romania,Europe,3528753,18256,91,,91,68802,356,2,,2
Nicaragua,Americas,16145,244,2,,2,245,4,,,
Dominica,Americas,16047,22290,,,,74,103,,,
Global,,7.75481329E8,4787720.0,32524.0,209.0,32524.0,7049376.0,29368.0,293.0,,293.0
Bermuda,Americas,18860,30286,,,,165,265,,,
South Sudan,Africa,18823,168,,,,147,1,,,
Holy See,,26,3214,,,,0,,,,
Solomon Islands,Western Pacific,25954,3779,,,,199,29,,,
Iran (Islamic Republic of),Eastern Mediterranean,7627863,9082,,,,146837,175,,,
San Marino,Europe,25292,74524,,,,126,371,,,
Congo,Africa,25219,457,,,,389,7,,,
Mexico,Americas,7709747,5980,,,,335011,260,,,
Chad,Africa,7702,47,,,,194,1,,,
Albania,Europe,334863,11636,,,,3605,125,,,
Mali,Africa,33164,164,,,,743,4,,,
Guinea-Bissau,Africa,9614,489,,,,177,9,,,
Niger,Africa,9515,39,,,,315,1,,,
Réunion,,494595,55243,,,,921,103,,,
Gabon,Africa,49051,2204,,,,307,14,,,
United States of America,Americas,103436829,31250,,,,1187125,359,141,,141
Micronesia (Federated States of),Western Pacific,26547,23080,,,,65,57,,,
Russian Federation,Europe,24169359,16562,10857,7,10857,402870,276,49,,49
Bolivia (Plurinational State of),Americas,1212131,10384,,,,22387,192,,,
Australia,Western Pacific,11853158,46483,6769,27,6769,25779,101,18,,18
Netherlands (Kingdom of the),Europe,8636310,49612,68,,68,22986,132,,,
Venezuela (Bolivarian Republic of),Americas,552695,1944,,,,5856,21,,,
New Zealand,Western Pacific,2589531,53700,2353,49,2353,3995,83,19,,19
Icvanuatu,Other,12,,,,,0,,,,
Greenland,Europe,11971,21086,,,,21,37,,,
Northern Mariana Islands,Western Pacific,14684,25512,9,16,9,41,71,,,
Democratic Republic of the Congo,Africa,100615,112,49,,49,1470,2,,,
Saint Vincent and the Grenadines,Americas,9674,8720,,,,124,112,,,
Republic of Korea,Western Pacific,34571873,67432,,,,35934,70,,,
United States Virgin Islands,Americas,25389,24313,,,,132,126,,,
"Bonaire, Saint Eustatius and Saba",Americas,11922,,,,,41,,,,
Saudi Arabia,Eastern Mediterranean,841469,2417,,,,9646,28,,,
Bosnia and Herzegovina,Europe,403642,12303,4,,4,16388,500,,,
Sint Maarten (Dutch part),Americas,11051,25771,,,,92,215,,,
French Polynesia,Western Pacific,79302,28231,,,,650,231,,,
Belize,Americas,71409,17959,,,,688,173,,,
Ethiopia,Africa,501168,436,1,,1,7574,7,,,
Zambia,Africa,349640,1902,5,,5,4069,22,,,
Zimbabwe,Africa,266362,1792,,,,5740,39,,,
Rwanda,Africa,133240,1029,5,,5,1468,11,,,
Angola,Africa,107443,327,20,,20,1937,6,,,
French Guiana,,98041,32825,,,,413,138,,,
Tokelau,Western Pacific,80,5926,,,,0,,,,
Saint Barthélemy,,5507,55711,,,,5,51,,,
Andorra,Europe,48015,62143,,,,159,206,,,
Aruba,Americas,44224,41421,,,,292,273,,,
Anguilla,Americas,3904,26023,,,,12,80,,,
Martinique,,230354,61384,,,,1104,294,,,
Liechtenstein,,21576,55684,,,,89,230,,,
Tajikistan,Europe,17786,186,,,,125,1,,,
Cameroon,Africa,125207,472,,,,1974,7,,,
Senegal,Africa,89077,532,,,,1971,12,,,
Isle of Man,,38008,44698,,,,116,136,,,
Lesotho,Africa,36138,1687,,,,709,33,,,
Faroe Islands,,34658,70926,,,,28,57,,,
Nigeria,Africa,267188,130,,,,3155,2,,,
Ghana,Africa,172010,554,7,,7,1462,5,,,
Gambia,Africa,12627,522,1,,1,372,15,,,
Comoros,Africa,9109,1047,,,,160,18,,,
Malawi,Africa,89168,466,,,,2686,14,,,
Uganda,Africa,172149,376,,,,3632,8,,,
Haiti,Americas,34298,301,,,,860,8,,,
Gibraltar,,20550,60996,,,,113,335,,,
